d,d,d,d,deci_avg,d,d,traff_avg,d,d,ped_average,longitude,latitude
,,,,0,9,4,6.5,,,0,-75.68823447,45.41541237
,,,,0,,,0,,,0,-75.68888343,45.41634842
,,,,0,,,0,,,0,-75.69245665,45.41994135
,,,,0,,,0,,,0,-75.6884273,45.4157928
,,,,0,,,0,14,9,11.5,-75.691204,45.419064
69.5,50.2,76.1,53.1,62.225,,,0,,,0,-75.688005,45.4149398
,,,,0,,,0,,,0,-75.69198014,45.41967468
,,,,0,,,0,,,0,-75.6904876,45.4181049
,,,,0,,,0,,,0,-75.69088497,45.41837062
,,,,0,,17,8.5,,,0,-75.69155659,45.41947237
75.3,50.9,75.7,49.5,62.85,,,0,,,0,-75.69119667,45.41878036
,,,,0,,,0,,,0,-75.6929573,45.4204157
,,,,0,,,0,,,0,-75.69115298,45.41886274
,,,,0,,,0,,,0,-75.69284656,45.42054151
,,,,0,,,0,,,0,-75.69243026,45.42016778
,,,,0,,,0,,,0,-75.68853469,45.41566551
,,,,0,,,0,,,0,-75.69068348,45.41827238
,,,,0,13,,6.5,,,0,-75.68920084,45.41650141
69.3,50.7,80.7,51.6,63.075,,,0,,,0,-75.6880564,45.4153291
,,,,0,,,0,,,0,-75.69287593,45.42062315
,,,,0,,,0,,,0,-75.68855435,45.41576795
,,,,0,,,0,21,,10.5,-75.69154507,45.41956289
,,,,0,,,0,,,0,-75.69146299,45.41921372
,,,,0,,,0,,,0,-75.68864389,45.41566688
70.8,53.4,67.1,51,60.575,,,0,,,0,-75.69083059,45.4187056
81.4,53.6,77.7,54.5,66.8,,,0,,,0,-75.69140446,45.41902378
,,,,0,,,0,13,9,11,-75.69180881,45.41947597
,,,,0,,,0,,,0,-75.6930508,45.4212206
80.9,52.2,71.2,54.2,64.625,,,0,,,0,-75.68837311,45.41543615
,,,,0,7,2,4.5,,,0,-75.68838728,45.4155406
,,,,0,8,10,9,,,0,-75.69118028,45.41582092
,,,,0,3,2,2.5,,,0,-75.691352,45.4158774
