cluster,latitude,longitude,x,y
0,45.42846819903226,-75.69405423483872,7.833333333333333,59.875
4,45.428128731200005,-75.695056618,11.5,62.88125
6,45.4285046725,-75.6911936775,27.0,61.8
7,45.429440139375004,-75.69245613375,6.75,64.13333333333334
8,45.42815618066666,-75.692845886,27.0,60.95
