cluster,latitude,longitude,x,y
4,45.428128731200005,-75.695056618,11.5,4.0
6,45.4285046725,-75.6911936775,27.0,6.0
7,45.429440139375004,-75.69245613375,6.75,5.5
8,45.42815618066666,-75.692845886,27.0,17.0
